# timestamps [seconds],pts
38850.248026,2099212
38850.279921,2101302
38850.311925,2103399
38850.347824,2105752
38850.379794,2107847
38850.412113,2109965
38850.448017,2112318
38850.479968,2114412
38850.515842,2116763
38850.547881,2118863
38850.580176,2120979
38850.616228,2123342
38850.647932,2125420
38850.683874,2127775
38850.715785,2129866
38850.747780,2131963
38850.783923,2134332
38850.816374,2136459
38850.850231,2138677
38850.883809,2140878
38850.915767,2142972
38850.951911,2145341
38850.983952,2147441
38851.016020,2149542
38851.051824,2151889
38851.084439,2154026
38851.115806,2156082
38851.151906,2158448
38851.183961,2160548
38851.219798,2162897
38851.251803,2164994
38851.283692,2167084
38851.319906,2169457
38851.351890,2171554
38851.383853,2173648
38851.419920,2176012
38851.451694,2178094
38851.488226,2180488
38851.519956,2182568
38851.552011,2184668
38851.588521,2187061
38851.619801,2189111
38851.652483,2191253
38851.688178,2193592
38851.719947,2195674
38851.755865,2198028
38851.787902,2200128
38851.820089,2202237
38851.856214,2204604
38851.888005,2206688
38851.920038,2208787
38851.955757,2211128
38851.987781,2213227
38852.023852,2215591
38852.056290,2217716
38852.088047,2219798
38852.123944,2222150
38852.155856,2224241
38852.191892,2226603
38852.223983,2228706
38852.255991,2230804
38852.291803,2233151
38852.324263,2235278
38852.355890,2237351
38852.391937,2239713
38852.424023,2241816
38852.460126,2244182
38852.492108,2246278
38852.523817,2248356
38852.560172,2250738
38852.592141,2252833
38852.623955,2254918
38852.660102,2257287
38852.691847,2259368
38852.728236,2261752
38852.759852,2263824
38852.792174,2265943
38852.828257,2268307
38852.859842,2270377
38852.891801,2272472
38852.928018,2274845
38852.959966,2276939
38852.995962,2279298
38853.027820,2281386
38853.059818,2283483
38853.095871,2285845
38853.128280,2287969
38853.159939,2290044
38853.195796,2292394
38853.227852,2294495
38853.263881,2296856
38853.296103,2298968
38853.327960,2301055
38853.363854,2303408
38853.395855,2305505
38853.427847,2307601
38853.463994,2309970
38853.495944,2312064
38853.531825,2314416
38853.563904,2316518
38853.595824,2318610
38853.632247,2320997
38853.663884,2323070
38853.696140,2325184
38853.731759,2327518
38853.763829,2329620
38853.800310,2332011
38853.831958,2334085
38853.864102,2336191
38853.900063,2338548
38853.932007,2340642
38853.967953,2342997
38853.999864,2345089
38854.032057,2347198
38854.068282,2349572
38854.100056,2351655
38854.131923,2353743
38854.168018,2356109
38854.200096,2358211
38854.235959,2360561
38854.267897,2362654
38854.299936,2364754
38854.335969,2367115
38854.367984,2369213
38854.400157,2371322
38854.436034,2373673
38854.467883,2375760
38854.503896,2378120
38854.536209,2380238
38854.568237,2382337
38854.603768,2384665
38854.636109,2386785
38854.667810,2388862
38854.704316,2391255
38854.735966,2393329
38854.771916,2395685
38854.804124,2397796
38854.836064,2399889
38854.871928,2402239
38854.903894,2404334
38854.936183,2406450
38854.972099,2408804
38855.004432,2410923
38855.040099,2413260
38855.071979,2415350
38855.103969,2417446
38855.140001,2419807
38855.172123,2421913
38855.203824,2423990
38855.240208,2426374
38855.271894,2428451
38855.307903,2430811
38855.339903,2432908
38855.371904,2435005
38855.408218,2437385
38855.440030,2439470
38855.476078,2441832
38855.507878,2443916
38855.539830,2446010
38855.575944,2448377
38855.607969,2450476
38855.639927,2452570
38855.675790,2454920
38855.708076,2457036
38855.743961,2459388
38855.775936,2461483
38855.807962,2463582
38855.843878,2465936
38855.875854,2468032
38855.907836,2470127
38855.944328,2472519
38855.976006,2474595
38856.011821,2476942
38856.043827,2479040
38856.075751,2481132
38856.111902,2483501
38856.143935,2485600
38856.175833,2487691
38856.211777,2490046
38856.243771,2492143
38856.279814,2494505
38856.311946,2496611
38856.343933,2498707
38856.379808,2501058
38856.411854,2503158
38856.443798,2505252
38856.479866,2507615
38856.511884,2509714
38856.547755,2512065
38856.579801,2514165
38856.611762,2516259
38856.647946,2518631
38856.679865,2520722
38856.711943,2522825
38856.747874,2525179
38856.779812,2527272
38856.815945,2529640
38856.848082,2531747
38856.879961,2533836
38856.915883,2536190
38856.947965,2538292
38856.984024,2540655
38857.015777,2542736
38857.047967,2544846
38857.083816,2547195
38857.115875,2549296
38857.147881,2551394
38857.183974,2553759
38857.215906,2555852
38857.251804,2558204
38857.284106,2560321
38857.315803,2562399
38857.351968,2564769
38857.384205,2566881
38857.415927,2568960
38857.451887,2571317
38857.484250,2573438
38857.519963,2575778
38857.552065,2577882
38857.583970,2579973
38857.620092,2582340
38857.651812,2584419
38857.683766,2586513
38857.720222,2588902
38857.752001,2590985
38857.788081,2593349
38857.820119,2595449
38857.852083,2597544
38857.887937,2599893
38857.919917,2601989
38857.951935,2604088
38857.987844,2606441
38858.019823,2608537
38858.055892,2610900
38858.087907,2612998
38858.119932,2615097
38858.155826,2617450
38858.187860,2619549
38858.219846,2621645
38858.255864,2624005
38858.287853,2626102
38858.323832,2628460
38858.355843,2630558
38858.387809,2632653
38858.423906,2635018
38858.455864,2637112
38858.487837,2639208
38858.523786,2641564
38858.555805,2643662
38858.591998,2646034
38858.623949,2648128
38858.656045,2650231
38858.691826,2652576
38858.723826,2654673
38858.759815,2657032
38858.791933,2659137
38858.823972,2661236
38858.859831,2663586
38858.891835,2665684
38858.923813,2667780
38858.959920,2670146
38858.991957,2672245
38859.027767,2674592
38859.059857,2676695
38859.091815,2678790
38859.127954,2681158
38859.159948,2683255
38859.191829,2685344
38859.227855,2687705
38859.259946,2689808
38859.296288,2692190
38859.328006,2694268
38859.360203,2696378
38859.395871,2698716
38859.427810,2700809
38859.459867,2702910
38859.495895,2705271
38859.527981,2707374
38859.563836,2709723
38859.596126,2711840
38859.627881,2713921
38859.663836,2716277
38859.695901,2718378
38859.728226,2720497
38859.764127,2722850
38859.795895,2724931
38859.831968,2727295
38859.864126,2729403
38859.896130,2731500
38859.931921,2733846
38859.963906,2735942
38859.995859,2738036
38860.032213,2740419
38860.064101,2742508
38860.099725,2744843
38860.132110,2746965
38860.163725,2749037
38860.200208,2751428
38860.232021,2753513
38860.267927,2755866
38860.299914,2757962
38860.332104,2760072
38860.368213,2762438
38860.400009,2764522
38860.432240,2766634
38860.467861,2768969
38860.500147,2771085
38860.536133,2773443
38860.567984,2775530
38860.600018,2777630
38860.635812,2779975
38860.668101,2782091
38860.699854,2784172
38860.735967,2786539
38860.767956,2788635
38860.804085,2791003
38860.836121,2793103
38860.867855,2795182
38860.904217,2797565
38860.935897,2799641
38860.967951,2801742
38861.004249,2804121
38861.035805,2806189
38861.071853,2808551
38861.104195,2810671
38861.135952,2812752
38861.172189,2815127
38861.204132,2817220
38861.235851,2819299
38861.272544,2821704
38861.303983,2823764
38861.339806,2826112
38861.371914,2828216
38861.403817,2830307
38861.439872,2832669
38861.471934,2834771
38861.503940,2836868
38861.539962,2839229
38861.571918,2841323
